type,query,truth
yes/no,Is Zipcode 98394 adjacent to and south of Zipcode 98349?,no
checkbox,Query: Select all options that intersect with Stearns County Minnesota? You may choose one or more options. Options: a. Zipcode 55362 b. Zipcode 56384 c. Zipcode 56389 d. Zipcode 56378 e. None of the above,d
radio,Query: Select exactly one option (a-e) that best describes the relationship of Randolph County West Virginia in relation to Zipcode 26278 in terms of geography. Options: a. adjacent to and southeast of b. west of c. adjacent to and west of d. northwest of e. none of the above,e
radio,Query: Select exactly one option (a-e) that best describes the relationship of Sagadahoc County Maine in relation to Zipcode 04539 in terms of geography. Options: a. adjacent to and south of b. northeast of c. north of d. adjacent to and east of e. none of the above,e
radio,Query: Select exactly one option (a-e) that best describes the relationship of Whitman County Washington in relation to Zipcode 99130 in terms of geography. Options: a. adjacent to and northwest of b. south of c. northwest of d. adjacent to and north of e. none of the above,e
radio,Query: Select exactly one option (a-e) that best describes the relationship of Wayne County Tennessee in relation to Zipcode 38456 in terms of geography. Options: a. east of b. west of c. adjacent to and northwest of d. northeast of e. none of the above,b
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 55052 in relation to Zipcode 55049 in terms of geography. Options: a. adjacent to and west of b. northwest of c. west of d. adjacent to and east of e. none of the above,a
checkbox,Query: Select all options that are northeast of Zipcode 49715? You may choose one or more options. Options: a. Zipcode 49783 b. Zipcode 49724 c. Zipcode 49752 d. Zipcode 49788 e. None of the above,e
yes/no,"The State of Illinois contains Zipcode 62266, correct?",yes
radio,Query: Select exactly one option (a-e) that best describes the relationship of The State of New York in relation to Zipcode 12501 in terms of geography. Options: a. they intersect b. adjacent to and south of c. south of d. contains e. none of the above,d
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 44870 in relation to Zipcode 44811 in terms of geography. Options: a. west of b. east of c. north of d. adjacent to and southeast of e. none of the above,e
checkbox,Query: Select all options that are southwest of Zipcode 44301? You may choose one or more options. Options: a. Zipcode 44305 b. Zipcode 44311 c. Zipcode 44314 d. Zipcode 44312 e. None of the above,a
checkbox,Query: Select all options that are northeast of Butler County Ohio? You may choose one or more options. Options: a. Zipcode 47006 b. Zipcode 45036 c. Zipcode 47022 d. Zipcode 45215 e. None of the above,c
checkbox,Query: Select all options that are adjacent to and northwest of Zipcode 10172? You may choose one or more options. Options: a. Zipcode 10169 b. Zipcode 10016 c. Zipcode 10154 d. Zipcode 10170 e. None of the above,e
checkbox,Query: Select all options that are adjacent to and southwest of Zipcode 76104? You may choose one or more options. Options: a. Zipcode 76110 b. Zipcode 76103 c. Zipcode 76105 d. Zipcode 76107 e. None of the above,b
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 51002 in relation to Zipcode 50576 in terms of geography. Options: a. adjacent to and northeast of b. adjacent to and northwest of c. adjacent to and north of d. adjacent to and southwest of e. none of the above,d
yes/no,Is Zipcode 54830 adjacent to and northwest of Zipcode 55712?,no
yes/no,Is Norfolk County Massachusetts north of Zipcode 02472?,no
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 06255 in relation to Zipcode 01571 in terms of geography. Options: a. adjacent to and southeast of b. inside of c. adjacent to and northwest of d. adjacent to and north of e. none of the above,a
radio,Query: Select exactly one option (a-e) that best describes the relationship of Sullivan County New York in relation to Zipcode 12406 in terms of geography. Options: a. they intersect b. adjacent to and north of c. southwest of d. northwest of e. none of the above,c
yes/no,Is Zipcode 53146 northeast of Zipcode 53149?,yes
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 38374 in relation to Zipcode 38371 in terms of geography. Options: a. south of b. adjacent to and southeast of c. adjacent to and northeast of d. adjacent to and west of e. none of the above,c
yes/no,Is Zipcode 46041 northeast of Zipcode 47940?,yes
yes/no,Is Zipcode 38240 adjacent to and northwest of Zipcode 38059?,yes
radio,Query: Select exactly one option (a-e) that best describes the relationship of Henry County Kentucky in relation to Trimble County Kentucky in terms of geography. Options: a. adjacent to and west of b. southwest of c. adjacent to and southeast of d. northwest of e. none of the above,c
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 43013 in relation to Zipcode 43050 in terms of geography. Options: a. southwest of b. adjacent to and northeast of c. inside of d. adjacent to and west of e. none of the above,a
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 12930 in relation to Zipcode 13613 in terms of geography. Options: a. they intersect b. west of c. adjacent to and west of d. adjacent to and east of e. none of the above,e
checkbox,Query: Select all options that intersect with Kossuth County Iowa? You may choose one or more options. Options: a. Zipcode 50581 b. Zipcode 50517 c. Zipcode 50545 d. Zipcode 56033 e. None of the above,e
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 49128 in relation to Zipcode 49113 in terms of geography. Options: a. they intersect b. adjacent to and west of c. adjacent to and northeast of d. south of e. none of the above,b
yes/no,Is Gloucester County Virginia southwest of Zipcode 23064?,yes
checkbox,Query: Select all options that are adjacent to and southeast of Zipcode 95490? You may choose one or more options. Options: a. Zipcode 95428 b. Zipcode 95469 c. Zipcode 95454 d. Zipcode 95482 e. None of the above,c
radio,Query: Select exactly one option (a-e) that best describes the relationship of Hennepin County Minnesota in relation to Zipcode 55443 in terms of geography. Options: a. adjacent to and north of b. adjacent to and west of c. contains d. adjacent to and northwest of e. none of the above,c
checkbox,Query: Select all options that are west of Garfield County Colorado? You may choose one or more options. Options: a. Zipcode 81601 b. Zipcode 81641 c. The State of Utah d. Zipcode 80467 e. None of the above,e
yes/no,Is Zipcode 06238 adjacent to and northeast of Zipcode 06279?,no
yes/no,Is Zipcode 60532 adjacent to and west of Zipcode 60563?,no
checkbox,Query: Select all options that are adjacent to and southwest of Zipcode 04971? You may choose one or more options. Options: a. Zipcode 04928 b. Zipcode 04953 c. Zipcode 04942 d. Zipcode 04943 e. None of the above,e
checkbox,Query: Select all options that are adjacent to and northeast of The State of Delaware? You may choose one or more options. Options: a. Zipcode 21659 b. Zipcode 21837 c. Zipcode 19803 d. Zipcode 21639 e. None of the above,"a,b"
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 44691 in relation to Zipcode 44214 in terms of geography. Options: a. east of b. adjacent to and south of c. adjacent to and southwest of d. southwest of e. none of the above,b
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 87124 in relation to Zipcode 87114 in terms of geography. Options: a. contains b. adjacent to and northwest of c. northwest of d. southwest of e. none of the above,b
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 35184 in relation to Zipcode 35080 in terms of geography. Options: a. north of b. northwest of c. adjacent to and southwest of d. inside of e. none of the above,c
yes/no,Is Zipcode 12203 east of Zipcode 12204?,no
checkbox,Query: Select all options that are adjacent to and east of Zipcode 34201? You may choose one or more options. Options: a. Zipcode 34240 b. Zipcode 34234 c. Zipcode 34203 d. Zipcode 34211 e. None of the above,e
checkbox,Query: Select all options that are north of Crane County Texas? You may choose one or more options. Options: a. The State of Texas b. Winkler County Texas c. Zipcode 79706 d. Zipcode 79735 e. None of the above,d
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 07480 in relation to Zipcode 07405 in terms of geography. Options: a. southwest of b. adjacent to and north of c. northwest of d. north of e. none of the above,b
checkbox,Query: Select all options that intersect with Cook County Illinois? You may choose one or more options. Options: a. Zipcode 60101 b. Zipcode 46304 c. Zipcode 60466 d. Zipcode 60165 e. None of the above,c
checkbox,Query: Select all options that are adjacent to and west of The State of Illinois? You may choose one or more options. Options: a. Zipcode 47993 b. Zipcode 47991 c. Zipcode 63782 d. Zipcode 62324 e. None of the above,"a,b"
yes/no,Is Zipcode 85256 adjacent to and northwest of Zipcode 85258?,no
checkbox,Query: Select all options that are northeast of Hendry County Florida? You may choose one or more options. Options: a. Zipcode 33909 b. Zipcode 34103 c. DeSoto County Florida d. Zipcode 33976 e. None of the above,b
yes/no,Is Zipcode 63775 west of Zipcode 63732?,yes
radio,Query: Select exactly one option (a-e) that best describes the relationship of Butts County Georgia in relation to Zipcode 30224 in terms of geography. Options: a. southeast of b. adjacent to and southeast of c. east of d. adjacent to and east of e. none of the above,d
